,originalTitle,brTitle
0,Toy Story (1995),Toy Story: Um Mundo de Aventuras (1995)
1,Jumanji (1995),Jumanji (1995)
2,Grumpier Old Men (1995),Dois Velhos Mais Rabugentos (1995)
3,Waiting to Exhale (1995),Falando de Amor (1995)
4,Father of the Bride Part II (1995),O Pai da Noiva 2 (1995)
5,Heat (1995),Fogo Contra Fogo (1995)
6,Sabrina (1995),Sabrina (1995)
7,Tom and Huck (1995),"Tom e Huck, em Busca do Grande Tesouro (1995)"
8,Sudden Death (1995),Morte Súbita (1995)
9,GoldenEye (1995),007 Contra GoldenEye (1995)
10,"American President, The (1995)",Meu Querido Presidente (1995)
11,Dracula: Dead and Loving It (1995),"Drácula, Morto mas Feliz (1995)"
12,Balto (1995),Balto (1995)
13,Nixon (1995),Nixon (1995)
14,Cutthroat Island (1995),A Ilha da Garganta Cortada (1995)
15,Casino (1995),Cassino (1995)
16,Sense and Sensibility (1995),Razão e Sensibilidade (1995)
17,Four Rooms (1995),Grande Hotel: Uma Comédia Cinco Estrelas (1995)
18,Ace Ventura: When Nature Calls (1995),Ace Ventura 2: Uma Aventura na Africa (1995)
19,Money Train (1995),Assalto Sobre Trilhos (1995)
20,Get Shorty (1995),O Nome do Jogo (1995)
21,Copycat (1995),Copycat: A Vida Imita a Morte (1995)
22,Assassins (1995),Assassinos (1995)
23,Powder (1995),Energia Pura (1995)
24,Leaving Las Vegas (1995),Despedida em Las Vegas (1995)
25,Othello (1995),Othello (1995)
26,Now and Then (1995),Agora e Sempre (1995)
27,Persuasion (1995),Persuasion (1995)
28,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",Ladrão de Sonhos (1995)
29,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Operação Xangai (1995)
30,Dangerous Minds (1995),Mentes Perigosas (1995)
31,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Os Doze Macacos (1995)
32,Wings of Courage (1995),Asas da Coragem (1995)
33,Babe (1995),"Babe, o Porquinho Atrapalhado (1995)"
34,Carrington (1995),"Carrington, Dias de Paixão (1995)"
35,Dead Man Walking (1995),Os Últimos Passos de um Homem (1995)
36,Across the Sea of Time (1995),A Travessia do Mar e do Tempo (1995)
37,It Takes Two (1995),As Namoradas do Papai (1995)
38,Clueless (1995),As Patricinhas de Beverly Hills (1995)
39,"Cry, the Beloved Country (1995)",Os Deserdados (1995)
40,Richard III (1995),Ricardo III (1995)
41,Dead Presidents (1995),Ambição em Alta Voltagem (1995)
42,Restoration (1995),O Outro Lado da Nobreza (1995)
43,Mortal Kombat (1995),Mortal Kombat (1995)
44,To Die For (1995),Um Sonho sem limites (1995)
45,How to Make an American Quilt (1995),Colcha de Retalhos (1995)
46,Seven (a.k.a. Se7en) (1995),Seven: Os Sete Crimes Capitais (1995)
47,Pocahontas (1995),Pocahontas: O Encontro de Dois Mundos (1995)
48,When Night Is Falling (1995),Quando a Noite Cai (1995)
49,"Usual Suspects, The (1995)",Os Suspeitos (1995)
50,Mighty Aphrodite (1995),Poderosa Afrodite (1995)
51,Lamerica (1994),América - O Sonho de Chegar (1994)
52,"Big Green, The (1995)",Pisando na Bola (1995)
53,Georgia (1995),Georgia (1995)
54,Kids of the Round Table (1995),Os Jovens Cavaleiros da Távola Redonda (1995)
55,Home for the Holidays (1995),Feriados em Família (1995)
56,"Postman, The (Postino, Il) (1994)",O Carteiro e o Poeta (1994)
57,"Confessional, The (Confessionnal, Le) (1995)",Mistérios e Pecados (1995)
58,"Indian in the Cupboard, The (1995)",A Chave Mágica (1995)
59,Eye for an Eye (1996),Olho por Olho (1996)
60,Mr. Holland's Opus (1995),Mr. Holland: Adorável Professor (1995)
61,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),Vizinhança do Barulho (1996)
62,Two if by Sea (1996),Corações Roubados (1996)
63,Bio-Dome (1996),Malucos por Natureza (1996)
64,Lawnmower Man 2: Beyond Cyberspace (1996),O Passageiro do Futuro 2: Dominando o Ciberespaço (1996)
65,Two Bits (1995),Um Dia para Relembrar (1995)
66,French Twist (Gazon maudit) (1995),Uma Cama Para Três (1995)
67,Friday (1995),Sexta-Feira em Apuros (1995)
68,From Dusk Till Dawn (1996),Um Drink no Inferno (1996)
69,Fair Game (1995),Atração Explosiva (1995)
70,Kicking and Screaming (1995),Tempo de Decisão (1995)
71,"Misérables, Les (1995)",Os Miseráveis (1995)
72,Bed of Roses (1996),Rosas da Sedução (1996)
73,Big Bully (1996),Inimigos para Sempre (1996)
74,Screamers (1995),Assassinos Cibernéticos (1995)
75,Nico Icon (1995),Nico Icon (1995)
76,"Crossing Guard, The (1995)",Acerto Final (1995)
77,"Juror, The (1996)",A Jurada (1996)
78,"White Balloon, The (Badkonake sefid) (1995)",O Balão Branco (1995)
79,Things to Do in Denver When You're Dead (1995),Coisas para se Fazer em Denver Quando Você Está Morto (1995)
80,Antonia's Line (Antonia) (1995),A Excêntrica Família de Antonia (1995)
81,Once Upon a Time... When We Were Colored (1995),Once Upon a Time... When We Were Colored (1995)
82,Last Summer in the Hamptons (1995),Last Summer in the Hamptons (1995)
83,Angels and Insects (1995),Anjos E Insetos (1995)
84,White Squall (1996),Tormenta (1996)
85,Dunston Checks In (1996),O Hóspede quer Bananas (1996)
86,Black Sheep (1996),A Ovelha Negra (1996)
87,Nick of Time (1995),Tempo Esgotado (1995)
88,The Journey of August King (1995),Amor e Liberdade (1995)
89,Mary Reilly (1996),O Segredo de Mary Reilly (1996)
90,Vampire in Brooklyn (1995),Um Vampiro no Brooklyn (1995)
91,Beautiful Girls (1996),Brincando de Seduzir (1996)
92,Broken Arrow (1996),A Última Ameaça (1996)
93,In the Bleak Midwinter (1995),Sonhos de Uma Noite de Inverno (1995)
94,"Hate (Haine, La) (1995)",O Ódio (1995)
95,Shopping (1994),Shopping: O Alvo do Crime (1994)
96,Heidi Fleiss: Hollywood Madam (1995),Heidi Fleiss: Hollywood Madam (1995)
97,City Hall (1996),City Hall: Conspiração no Alto Escalão (1996)
98,Bottle Rocket (1996),Pura Adrenalina (1996)
99,Mr. Wrong (1996),Deu Tudo Errado (1996)
100,Unforgettable (1996),Inesquecível (1996)
101,Happy Gilmore (1996),Um Maluco no Golfe (1996)
102,"Bridges of Madison County, The (1995)",As Pontes de Madison (1995)
103,Nobody Loves Me (Keiner liebt mich) (1994),Nobody Loves Me (Keiner liebt mich) (1994)
104,Muppet Treasure Island (1996),Os Muppets na Ilha do Tesouro (1996)
105,Catwalk (1996),Catwalk (1996)
106,Braveheart (1995),Coração Valente (1995)
107,Taxi Driver (1976),Taxi Driver (1976)
108,Rumble in the Bronx (Hont faan kui) (1995),Arrebentando em Nova York (1995)
109,Before and After (1996),Antes e Depois (1996)
110,Margaret's Museum (1995),O Museu de Margaret (1995)
111,Anne Frank Remembered (1995),A Lembrança de Anne Frank (1995)
112,"Young Poisoner's Handbook, The (1995)",O Livro Secreto do Jovem Envenenador (1995)
113,If Lucy Fell (1996),Lado a Lado com o Amor (1996)
114,"Steal Big, Steal Little (1995)",Disputa em Família (1995)
115,Race the Sun (1996),Corrida Rumo ao Sol (1996)
116,"Boys of St. Vincent, The (1992)",Os Meninos de São Vicente (1992)
117,Boomerang (1992),O Príncipe das Mulheres (1992)
118,Chungking Express (Chung Hing sam lam) (1994),Amores Expressos (1994)
119,"Star Maker, The (Uomo delle stelle, L') (1995)",O Homem das Estrelas (1995)
120,Flirting With Disaster (1996),Procurando Encrenca (1996)
121,"NeverEnding Story III, The (1994)",A História sem Fim 3 (1994)
122,Jupiter's Wife (1994),Jupiter's Wife (1994)
123,Pie in the Sky (1996),Corações em Trânsito (1996)
124,Frankie Starlight (1995),Feitiço das Estrelas (1995)
125,Jade (1995),Jade (1995)
126,Down Periscope (1996),Por Água Abaixo (1996)
127,From the Journals of Jean Seberg (1995),From the Journals of Jean Seberg (1995)
128,Man of the Year (1995),Man of the Year (1995)
129,"Neon Bible, The (1995)",Memórias (1995)
130,Up Close and Personal (1996),Íntimo e Pessoal (1996)
131,"Birdcage, The (1996)",A Gaiola das Loucas (1996)
132,"Brothers McMullen, The (1995)",Os Irmãos McMullen (1995)
133,Bad Boys (1995),Os Bad Boys (1995)
134,"Amazing Panda Adventure, The (1995)",Meu Amigo Panda (1995)
135,"Basketball Diaries, The (1995)",Diário de um Adolescente (1995)
136,"Awfully Big Adventure, An (1995)",Jogos de Ilusão (1995)
137,Amateur (1994),Amateur (1994)
138,Apollo 13 (1995),Apollo 13: Do Desastre ao Triunfo (1995)
139,Rob Roy (1995),"Rob Roy, a Saga de uma Paixão (1995)"
140,"Addiction, The (1995)",O Vício (1995)
141,Batman Forever (1995),Batman Eternamente (1995)
142,Beauty of the Day (Belle de jour) (1967),A Bela da Tarde (1967)
143,Beyond Rangoon (1995),Muito Além de Rangum (1995)
144,Blue in the Face (1995),Sem Fôlego (1995)
145,Canadian Bacon (1995),Operação Canadá (1995)
146,Casper (1995),"Gasparzinho, o Fantasminha Camarada (1995)"
147,Clockers (1995),Irmãos de Sangue (1995)
148,Congo (1995),Congo (1995)
149,Crimson Tide (1995),Maré Vermelha (1995)
150,Crumb (1994),Crumb (1994)
151,Desperado (1995),A Balada do Pistoleiro (1995)
152,Devil in a Blue Dress (1995),O Diabo Veste Azul (1995)
153,Die Hard: With a Vengeance (1995),Duro de Matar 3: A Vingança (1995)
154,"Doom Generation, The (1995)",Doom - Geração Maldita (1995)
155,Feast of July (1995),O Banquete de Julho (1995)
156,First Knight (1995),"Lancelot, o Primeiro Cavaleiro (1995)"
157,Free Willy 2: The Adventure Home (1995),Free Willy 2: A Aventura Voltou (1995)
158,Hackers (1995),Hackers: Piratas de Computador (1995)
159,Jeffrey (1995),Jeffrey - De Caso Com a Vida (1995)
160,Johnny Mnemonic (1995),"Johnny Mnemonic, o Cyborg do Futuro (1995)"
161,Judge Dredd (1995),O Juiz (1995)
162,Jury Duty (1995),Um Jurado Muito Louco (1995)
163,Kids (1995),Kids (1995)
164,Living in Oblivion (1995),Vivendo no Abandono (1995)
165,Lord of Illusions (1995),O Mestre das Ilusões (1995)
166,Love & Human Remains (1993),Amor e Restos Humanos (1993)
